Column1;Category;Name_Category;Name_SubCategory;slug;ecv;User;Usage;Use_Total;Unité;Emoji;Category_ML;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
73;5;Habillement;Chemise;chemise;13,2347;1;0;13; ;👕;Habillement;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
74;6;Électroménager;Cafetière à dosettes;cafetieredosette;251,0036;0;0;0; ;🔌;Électroménager;Si vous pensez à changer de cafetière, regardez leur empreinte carbone…
75;6;Électroménager;Bouilloire;bouilloire;40,884;0;0;0; ;🔌;Électroménager;
76;6;Électroménager;Cafetière expresso;cafetiereexpresso;211,7711;0;0;0; ;🔌;Électroménager;
77;6;Électroménager;Cafetière filtre;cafetierefiltre;197,6982;1;27,1831351;225; ;🔌;Électroménager;
78;6;Électroménager;Lave-vaisselle;lavevaisselle;468;0;21,943837;22; ;🔌;Électroménager;
79;6;Électroménager;Four électrique;fourelectrique;263,0647;0;6,29728333;6; ;🔌;Électroménager;
80;6;Électroménager;Réfrigérateur;refrigirateur;325,4607;0;8,83240334;9; ;🔌;Électroménager;
81;6;Électroménager;Lave-linge;lavelinge;510,2573;0;21,6932702;22; ;🔌;Électroménager;
82;6;Électroménager;Climatiseur;climatiseur;413,8813;0;18,2596505;18; ;🔌;Électroménager;
83;6;Électroménager;Aspirateur;aspirateur;47,31;0;0;0; ;🔌;Électroménager;
84;7;Mobilier;Chaise en bois;chaiseenbois;18,63;1;0;19; ;🛏️;Mobilier;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
85;7;Mobilier;Canapé convertible;canapeconvertible;197,5;0;0;0; ;🛏️;Mobilier;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
86;7;Mobilier;Canapé en textile;canapetextile;179,1;0;0;0; ;🛏️;Mobilier;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
87;7;Mobilier;Table en bois;tableenbois;80,22;0;0;0; ;🛏️;Mobilier;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
88;7;Mobilier;Lit;lit;443,81;0;0;0; ;🛏️;Mobilier;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
89;7;Mobilier;Armoire;armoire;906,88;1;0;907; ;🛏️;Mobilier;Avez-vous vraiment besoin de cet achat ? Avez-vous considéré la seconde main et recyclé vos anciens vêtements/mobiliers ?
90;8;Chauffage;Chauffage au fioul par m²;chauffagefioul;57,17;0;0;0; ;🔥;Chauffage;Il serait opportun d'étudier une solution de chauffage plus écologique et économique
91;8;Chauffage;Chauffage au gaz par m²;chauffagegaz;39;0;0;0; ;🔥;Chauffage;Il serait opportun d'étudier une solution de chauffage plus écologique et économique
92;8;Chauffage;Chauffage avec une pompe à chaleur par m²;pompeachaleur;3,95;2,769230769;0;11; ;🔥;Chauffage;
93;8;Chauffage;Chauffage électrique par m²;chauffageelectrique;11,85;0;0;0; ;🔥;Chauffage;Si vous pensez à changer de type de chauffage, étudiez les solutions réduisant votre empreinte carbone
94;8;Chauffage;Chauffage via un réseau de chaleur par m²;reseaudechaleur;18,67;0;0;0; ;🔥;Chauffage;Il pourrait être judicieux d'étudier une solution de chauffage plus écologique et économique
95;8;Chauffage;Chauffage avec un poêle à granulés par m²;poeleagranule;5,64;0;0;0; ;🔥;Chauffage;
96;8;Chauffage;Chauffage avec un poêle à bois par m²;poeleabois;9,2;0;0;0; ;🔥;Chauffage;Si vous pensez à changer de type de chauffage, étudiez les solutions réduisant votre empreinte carbone
100;10;Usage Numérique;Utilisation de Go de donnée (en quantité);Usage numérique;0,0095;520;0;5; ;💻;Usage Numérique;Avez-vous pensé que vos Go de données utilisés traduisent le temps que vous ne passez pas avec votre famille, vos amis, ou à vous détendre
101;10;Usage Numérique;Recherche sur le Web (en quantité);Usage numérique;0,051;260;0;13; ;💻;Usage Numérique;Toutes vos recherches sur Internet sont-elles vraiment nécessaires ?
102;10;Usage Numérique;Email (en quantité);Usage numérique;0,0031;520;0;2; ;💻;Usage Numérique;Tous les emails que vous envoyez sont-ils absolument nécessaires ?
103;10;Usage Numérique;Stocker un Go de donnée (en quantité);Usage numérique;0,0002;26000;0;6; ;💻;Usage Numérique;Avez-vous vraiment besoin de tout cet espace de stockage ? Supprimez-vous régulièrement les fichiers/mails inutiles et obsolètes ?
104;10;Usage Numérique;Streaming Vidéo (en nombre d'heures);Usage numérique;0,064;1300;0;83; ;💻;Usage Numérique;Avez-vous pensé que le temps de streaming traduit le temps que vous ne passez pas avec votre famille, vos amis, ou à vous détendre
105;10;Usage Numérique;Visioconférence (en nombre d'heures);Usage numérique;0,0571;1820;0;104; ;💻;Usage Numérique;Avez-vous vraiment besoin de tout ce temps de visio ?
