,group,ecv,Libellé
0,1,2.2764877,Sardines
1,2,4.77193,"Thon, Poulet"
2,3,5.499073000000001,"Huitres, Moules, Saumon, Lapin"
3,4,7.366102475,"Canard, Porc"
4,5,11.788154366666665,"Dorade, Lieu, Cabillaud"
5,6,21.424940666666664,"Crevettes, Veau"
6,7,28.00917,boeuf
