,Category,Name_Category,Name_SubCategory,slug,ecv
106,5,Habillement,Polo,polo,10.163529075648208
107,5,Habillement,T-shirt en coton,tshirtencoton,6.433790554863734
108,5,Habillement,T-shirt en polyester,tshirtenpolyester,6.211492878123854
109,5,Habillement,Sweat en coton,sweatencoton,32.49278107847502
110,5,Habillement,Chemise en coton,chemiseencoton,13.23466182713826
111,5,Habillement,Chemise en viscose,chemiseenviscose,12.139796272777625
112,5,Habillement,Paire de chaussures en cuir,chaussuresencuir,14.954494546022259
113,5,Habillement,Paire de chaussures en tissu,chaussuresentissu,18.519884267564898
114,5,Habillement,Paire de chaussures de sport,chaussuresdesport,20.125551283507104
115,5,Habillement,Robe en coton,robeencoton,56.90736582785554
116,5,Habillement,Robe en polyester,robeenpolyester,58.257205518739376
117,5,Habillement,Robe en viscose,robeenviscose,52.48152206560145
118,5,Habillement,Pull en laine,pullenlaine,56.69545613769189
119,5,Habillement,Pull en acrylique,pullenacrylique,28.96838102563544
120,5,Habillement,Pull en coton recyclé,pullencotonrecycle,13.19278107847502
121,5,Habillement,Manteau,manteau,101.42051607966856
122,5,Habillement,Veste imperméable,vesteimpermeable,41.14715954637288
123,5,Habillement,Veste simili-cuir,vestesimilicuir,26.825820363170223
124,6,Électroménager,Bouilloire,bouilloire,40.88403605825422
125,6,Électroménager,Cafetière à dosettes,cafetieredosette,251.0035526905852
126,6,Électroménager,Cafetière filtre,cafetierefiltre,197.69817433391722
127,6,Électroménager,Cafetière expresso,cafetiereexpresso,211.7710842705374
128,6,Électroménager,Four électrique,fourelectrique,263.06469996
129,6,Électroménager,Lave-vaisselle,lavevaisselle,467.9982177292116
130,6,Électroménager,Lave-linge,lavelinge,510.2572583409827
131,6,Électroménager,Réfrigérateur,refrigirateur,325.46071642401705
132,6,Électroménager,Aspirateur,aspirateur,47.31
133,6,Électroménager,Climatiseur,climatiseur,413.8812884443126
134,7,Mobilier,Canapé convertible,canapeconvertible,197.5
135,7,Mobilier,Chaise en bois,chaiseenbois,18.63
136,7,Mobilier,Table en bois,tableenbois,80.22
137,7,Mobilier,Canapé en textile,canapetextile,179.1
138,7,Mobilier,Armoire,armoire,906.88
139,7,Mobilier,Lit,lit,443.81000000000006
140,8,Chauffage,Chauffage au gaz par m²,chauffagegaz,39.0
141,8,Chauffage,Chauffage au fioul par m²,chauffagefioul,57.17
142,8,Chauffage,Chauffage électrique par m²,chauffageelectrique,11.85
143,8,Chauffage,Chauffage avec une pompe à chaleur par m²,pompeachaleur,3.95
144,8,Chauffage,Chauffage avec un poêle à granulés par m²,poeleagranule,5.64
145,8,Chauffage,Chauffage avec un poêle à bois par m²,poeleabois,9.2
146,8,Chauffage,Chauffage via un réseau de chaleur par m²,reseaudechaleur,18.67
147,9,Fruits et légumes,Maïs,mais,0.568793
148,9,Fruits et légumes,Pomme,pomme,0.408195
149,9,Fruits et légumes,Carotte,carotte,0.3960665
150,9,Fruits et légumes,Courgette,courgette,0.498507
151,9,Fruits et légumes,Tomate,tomate,0.6256
152,9,Fruits et légumes,Potiron,potiron,0.638233
153,9,Fruits et légumes,Laitue,laitue,0.868145
154,9,Fruits et légumes,Banane,banane,0.908523
155,9,Fruits et légumes,Mangue,mangue,11.65551
156,9,Fruits et légumes,Poireau,poireau,0.6113778000000001
157,9,Fruits et légumes,Avocat,avocat,1.552523
158,9,Fruits et légumes,Fraise,fraise,0.51107
159,9,Fruits et légumes,Pomme,pomme,0.40819489999999997
160,9,Fruits et légumes,Orange,orange,0.6776838000000001
161,9,Fruits et légumes,Citron,citron,0.7635958
162,9,Fruits et légumes,Ail,ail,0.38349300000000003
163,9,Fruits et légumes,Artichaut,artichaut,2.556166
164,9,Fruits et légumes,Asperge,asperge,1.638878
165,9,Fruits et légumes,Betterave,betterave,0.40736649999999996
166,9,Fruits et légumes,Blette,blette,0.5811
167,9,Fruits et légumes,Carotte,carotte,0.3960665
168,9,Fruits et légumes,Céleri,celeri,0.7157324
169,9,Fruits et légumes,Champignon (morille crue),champignonmorille,6.175009000000001
170,9,Fruits et légumes,Chou,chou,0.8476329999999999
171,9,Fruits et légumes,Chou de Bruxelles,choudebruxelles,0.562147
172,9,Fruits et légumes,Chou-fleur,choufleur,0.720705
173,9,Fruits et légumes,Concombre,concombre,0.5122949
174,9,Fruits et légumes,Courge,courge,0.6382
175,9,Fruits et légumes,Courgette,courgette,0.49850700000000003
176,9,Fruits et légumes,Cresson,cresson,0.868145
177,9,Fruits et légumes,Échalote,echalote,0.3935757
178,9,Fruits et légumes,Endive,endive,0.861009
179,9,Fruits et légumes,Épinard,epinard,0.42256999999999995
180,9,Fruits et légumes,Mangue,mangue,11.655508000000001
181,9,Fruits et légumes,Fenouil,fenouil,1.018233
182,9,Fruits et légumes,Haricot vert (cru),haricotvert,0.44645700000000005
