,name,slug,ecv
0,Email,email,0.0025
1,Spam,spam,0.00374
2,Stocker un Go de donnée,stockagedonnee,0.000235
3,Recherche sur le web,rechercheweb,0.051
4,Streaming vidéo,streamingvideo,0.064
5,Visioconférence,visioconference,0.0571
6,Go de donnée,telechargement,0.0095
