,group,ecv,Libellé
0,1,0.0218595,"Eau du robinet, Thé"
1,2,0.320735,Eau en Bouteille
2,3,0.46026500000000004,"Boisson au Soja, Soda"
3,4,0.635463,Café
4,5,1.1505,Lait de Vache
5,6,1.30783,"Vin, Bière"
