,name,slug,ecv
0,Eau du robinet,eaudurobinet,0.000132
1,Eau en bouteille,eauenbouteille,0.320735
2,Soda,soda,0.49333000000000005
3,Bière,biere,1.34703
4,Vin,vin,1.2686300000000001
5,Lait de vache,laitdevache,1.1505
6,Boisson au soja,soja,0.4272
7,Thé,the,0.043587
8,Café,cafe,0.635463
9,Lait de vache,laitdevache,1.33
