,group,ecv,Libellé
0,1,0.5751679999999999,"Maïs, Lentilles"
1,2,0.9023286666666667,"Haricots rouges, Pois chiches, Boulgour"
2,3,1.2262635,Blé
3,4,1.997042875,"Pates, Riz"
