,group,ecv,Libellé
0,1,1.181225,"Baguette, Tofu, Frites, Bonbons"
1,2,2.2978666666666667,"Pain de mie, Madeleine, Chausson aux pommes, Pain aux raisins, Sushis, Burger végétarien"
2,3,3.27125,"Croissant, Pizza"
3,4,5.045249999999999,"Burger Poulet, Pain au chocolat"
4,5,7.915566666666666,"Cookie, Brownie, Pâte à tartiner"
5,6,10.5219,Bouchées au chocolat
6,7,12.806530000000002,Kebab
7,8,18.8334,Cheeseburger
