,Category,Name_Category,Name_SubCategory,slug,ecv,User,Usage,Use_Total,Unité,Emoji,Category_ML
52,4,Transport,Vélo à assistance électrique,veloelectrique,0.01095,0,0,0,Km,🚗,Transport
53,4,Transport,Bus thermique,busthermique,0.1132,0,0,0,Km,🚗,Transport
54,4,Transport,Tramway,tramway,0.00428,0,0,0,Km,🚗,Transport
55,4,Transport,Métro,metro,0.00444,0,0,0,Km,🚗,Transport
56,4,Transport,Trottinette à assistance électrique,trottinette,0.0249,0,0,0,Km,🚗,Transport
57,4,Transport,Bus (GNV),busgnv,0.1217,1825,0,222.1025,Km,🚗,Transport
58,4,Transport,TER,ter,0.02769,0,0,0,Km,🚗,Transport
59,4,Transport,Bus électrique,buselectrique,0.0217,0,0,0,Km,🚗,Transport
60,5,Habillement,T-shirt,tshirt,6.4338,3,0,19.3014, ,👕,Habillement
61,5,Habillement,Sweat en coton,sweatencoton,32.49278107847502,1,0,32.49278107847502, ,👕,Habillement
62,5,Habillement,Jeans,jeans,25.0887,2,0,50.1774, ,👕,Habillement
63,5,Habillement,Polo,polo,10.16353,1,0,10.16353, ,👕,Habillement
64,5,Habillement,Pull en acrylique,pullenacrylique,28.968381,0,0,0, ,👕,Habillement
65,5,Habillement,Pull en laine,pullenlaine,56.6954561,2,0,113.3909122, ,👕,Habillement
66,5,Habillement,Robe,robe,55,1,0,55, ,👕,Habillement
67,5,Habillement,Paire de chaussures de sport,chaussuresdesport,20.12555,2,0,40.2511, ,👕,Habillement
68,5,Habillement,Veste simili-cuir,vestesimilicuir,26.82582,0,0,0, ,👕,Habillement
69,5,Habillement,Veste imperméable,vesteimpermeable,41.14716,0,0,0, ,👕,Habillement
70,5,Habillement,Manteau,manteau,101.420516,4,0,405.682064, ,👕,Habillement
71,5,Habillement,Pull en coton recyclé,pullencotonrecycle,13.192781,0,0,0, ,👕,Habillement
72,5,Habillement,Paire de chaussures,chaussures,16,1,0,16, ,👕,Habillement
73,5,Habillement,Chemise,chemise,13.2347,1,0,13.2347, ,👕,Habillement
74,6,Électroménager,Cafetière à dosettes,cafetieredosette,251.003553,0,0,0, ,🔌,Électroménager
75,6,Électroménager,Bouilloire,bouilloire,40.884036,0,0,0, ,🔌,Électroménager
76,6,Électroménager,Cafetière expresso,cafetiereexpresso,211.77108,0,0,0, ,🔌,Électroménager
77,6,Électroménager,Cafetière filtre,cafetierefiltre,197.698174,1,27.1831351,224.8813091, ,🔌,Électroménager
78,6,Électroménager,Lave-vaisselle,lavevaisselle,468,0,21.943837,21.943837, ,🔌,Électroménager
79,6,Électroménager,Four électrique,fourelectrique,263.0647,0,6.29728333,6.29728333, ,🔌,Électroménager
